"field_name","field_description"
"\"Thermocycling\",\"Whether or not temperature ramping is available to the instrument, allowing for the thermodynamics analysis of the samples.\""
"\"Thermodynamics\",\"Denotes the nearest neighbor parameter sets for various stacking, loop, and mismatch configurations of the oligomer.\""
"\"Thickness\",\"The depth of the barrier formed by this septum on the orifice it is installed upon.\""
"\"ThreadType\",\"The GPI/SPI Neck Finish designation of the cap that is used to determine compatible neck threadings.\""
"\"TimelapseImaging\",\"Indicates if this instrument model can image a sample at multiple time points.\""
"\"TipConnectionType\",\"The mechanism by which tip connects to the pipette.\""
"\"TipConnectionType\",\"The mechanism by which tips connects to this pipette.\""
"\"TipType\",\"Indicates the general type of tip (normal, barrier, widebore, filtered, etc.).\""
"\"TipType\",\"The type of tips used by the liquid handler to aspirate and dispense liquids.\""
"\"TotalProductVolume\",\"The total volume that this vertical lift can store.\""
"\"TotalVolume\",\"The total volume of this solution as specified by the Formula, where Solvent is used to fill any remaining volume.\""
"\"Transactions\",\"A list of order transactions placed with the supplier company.\""
"\"TransferLoopVolume\",\"The capacity of the tubing which contains the fluid being transferred between the aspiration and dispense steps of the syringe pump cycle.\""
"\"TransferOutSolventVolumes\",\"For each member of FixedAmounts, the amount of the dissolution solvent required to solvate the fixed amount component in this model.\""
"\"TransferTemperature\",\"The temperature that samples of this model should be at before any transfers using this sample occur.\""
"\"TransferVolume\",\"The volume that this spatula will transfer with one scoop.\""
"\"TransmittedLightColorCorrection\",\"Indicates if the instrument has a neutral color balance filter that can be placed into the transmitted light path to correct the color temperature during BrightField and PhaseContrast imaging.\""
"\"TransportChilled\",\"Indicates if items of this model should be refrigerated during transport when used in experiments.\""
"\"TransportChilled\",\"Indicates if samples of this model should be refrigerated during transport when used in experiments.\""
"\"TransportCondition\",\"The shortcut symbol that refers to the genre of transport provided by this object.\""
"\"TransportLightSensitive\",\"Indicates if this sample should be transported with a light sensitive cover when used in the laboratory.\""
"\"TransportStable\",\"Indicates if this container is capable of staying upright without assistance when being transported on an operator cart. Containers that are stable for transport can tolerate cart motion and accidental contact without falling, while those that are not must be resource picked into a rack.\""
"\"TransportTemperature\",\"The temperature at which this sample should be transported in the lab in a portable cooler/heater. If this field is Null, the sample will be transported at Ambient temperature.\""
"\"Transportable\",\"Indicates if the rack can be selected instead of individually scanning its contents during resource picking, storage, and movement tasks, and used to transport its contents to specified locations.\""
"\"TrapCapacity\",\"Maximum volume of condensation the cold trap can hold.\""
"\"TrapCapacity\",\"The volume of wash solution waste that the trap flask can hold before needing to be emptied.\""
"\"Treatment\",\"The treatment, if any, on the interior of this container.\""
"\"TriLoopEnergy\",\"The nearest neighbor Gibbs free energy contribution by a special type of three-base hairpin loop in the secondary structure of a nucleic acid at STP (37C,1ATM).\""
"\"TriLoopEnthalpy\",\"The nearest neighbor enthalpy contribution by a special type of three-base hairpin loop in the secondary structure of a nucleic acid.\""
"\"TubingInnerDiameter\",\"Internal diameter of the tubing connecting the CO2 in millimeters.\""
"\"TubingInnerDiameter\",\"Internal diameter of the tubing that connects the instrument.\""
"\"TubingInnerDiameter\",\"Internal diameter of the tubing that connects to the instrument.\""
"\"TubingInnerDiameter\",\"Internal diameter of the vacuum tubing that connects to the instrument in units of millimeters.\""
"\"TubingInnerDiameter\",\"Internal diameter of the vacuum tubing that connects to the instrument.\""
"\"TubingInnerDiameter\",\"The diameter of the tubing in the flow path of the instrument except within the flow cell.\""
"\"TubingInnerDiameter\",\"The diameter of the tubing in the flow path.\""
"\"TubingMaxPressure\",\"The maximum pressure the tubing in the sample flow path can tolerate.\""
"\"TubingOuterDiameter\",\"Outer diameter of the tubing that connects to the instrument.\""
"\"TubingType\",\"Material the system tubing is composed of.\""
"\"Type\",\"Type of this Object.\""
"\"UNII\",\"Unique Ingredient Identifier of compounds based on the unified identification scheme of FDA.\""
"\"UNII\",\"Unique Ingredient Identifier of this molecule, as given by the unified identification scheme of the FDA.\""
"\"USPDesignation\",\"The equivalent of the stationary phase in this column, as outlined by the United States Pharmacopeial Convention.\""
"\"UlbrichtSphere\",\"Indicates if scattered light from the sample passes into a reflective sphere called an Ulbricht sphere that preserves the intensity of the light while dereferencing the directionality of the light.\""
"\"UltrasonicIncompatible\",\"Indicates if volume measurements of samples contained within objects of this model are likely to give errant readings when measurements are conducted via ultrasonic liquid level detection.\""
"\"UltrasonicIncompatible\",\"Indicates if volume measurements of samples of this model cannot be performed via the ultrasonic distance method due to vapors interfering with the reading.\""
"\"UnsealedShelfLife\",\"The length of time after DateUnsealed that containers of this model are recommended for use before they should be discarded.\""
"\"UnsealedShelfLife\",\"The length of time after DateUnsealed that items of this model are recommended for use before they should be discarded.\""
"\"UnsealedShelfLife\",\"The length of time after DateUnsealed that samples of this model are recommended for use before they should be discarded.\""
"\"UsedAsSolvent\",\"Indicates if this sample is used as a solvent.\""
"\"UserManualFiles\",\"Documents in PDF format, comprising product documentation for this instrument, most commonly that which is provided by the manufacturer.\""
"\"VacuumPressure\",\"Minimum absolute pressure (zero-referenced against perfect vacuum) that this pump can achieve.\""
"\"VacuumPressure\",\"The minimum absolute pressure that the vacuum centrifuge's vacuum pump is capable of achieving. Absolute pressure is zero-referenced against a perfect vacuum and is equal to gauge pressure plus atmospheric pressure.\""
"\"VacuumPumpType\",\"Type of vacuum pump used to create reduced pressure in the interior of instrument.\""
"\"VacuumPump\",\"The pump used to generate a vacuum for the vacuum degasser instrument by removing air and evaporated solvent from the headspace of the sample container.\""
"\"VacuumPump\",\"The pump used to pull vacuum on the sample during the pump step of freeze-pump-thaw.\""
"\"Vacuumable\",\"Indicates if the contents of the desiccator can be evacuated using a vacuum source.\""
"\"VaporPressure\",\"Vapor pressure of the substance at room temperature.\""
"\"VaporTrap\",\"The vapor trap used by this instrument to ensure that no residual moisture can make its way into the vacuum gauge and vacuum pumps. This is done by using low temperature to condense moisture out of the gas flow.\""
